Date,flow (cfs),ACC_FLOW_7,ACC_FLOW_14,ACC_FLOW_30,ACC_FLOW_40,ACC_FLOW_50,ACC_FLOW_60,ACC_FLOW_70,ACC_FLOW_80,ACC_FLOW_90,ACC_FLOW_180,ACC_FLOW_365
8/30/2000,1230,10550,43240,139860,163675,177568,192588,207793,216883,228913,576187,2823515
8/31/2000,2140,9910,36500,136790,163275,177718,192528,207923,217063,228993,570777,2823445
9/1/2000,3090,10350,31930,134730,163975,178905,193058,208843,218208,230033,566747,2824425
9/2/2000,3430,11770,29300,133460,165815,180935,194218,210433,220373,232023,564237,2826600
9/3/2000,3410,13730,28250,132180,168075,183185,195688,212093,222919,234313,562497,2829321
9/4/2000,3590,15820,28360,130560,170490,185255,197378,213443,225507,236653,561277,2832067
9/5/2000,4590,18160,29450,128990,172250,187195,199488,214883,228313,239143,561187,2833057
9/6/2000,5380,21480,32030,128100,173910,190235,202758,217603,232121,242513,562357,2833617
9/7/2000,5770,25630,35540,127680,175480,194185,206898,221593,236682,246333,564327,2834497
9/8/2000,5990,29260,39610,127320,176930,198135,211418,226213,241463,250653,566897,2835007
9/9/2000,6160,32160,43930,126940,178480,202295,216188,231208,246413,255503,569967,2834077
9/10/2000,6150,34890,48620,126640,180340,206825,221268,236078,251473,260613,573377,2832307
9/11/2000,6030,37630,53450,126330,182290,211535,226465,240618,256403,265768,576747,2829177
9/12/2000,5620,40070,58230,124940,183960,216315,231435,244718,260933,270873,579977,2824707
9/13/2000,4890,41100,62580,122600,184870,220765,235875,248378,264783,275609,582667,2819327
9/14/2000,4010,40610,66240,119160,184730,224660,239425,251548,267613,279677,583637,2812517
9/15/2000,3280,38850,68110,114720,183580,226840,241785,254078,269473,282903,581947,2804027
9/16/2000,2520,36140,68300,110030,181380,227190,243515,256038,270883,285401,578857,2781207
9/17/2000,1980,32500,67390,105840,178100,225900,244605,257318,272013,287102,575187,2742127
9/18/2000,1900,28330,65960,102100,173950,223560,244765,258048,272843,288093,571307,2691907
9/19/2000,2740,24200,64270,99520,169480,221020,244835,258728,273748,288953,567497,2637907
9/20/2000,2930,21320,62420,98960,165760,219460,245945,260388,275198,290593,564487,2583647
9/21/2000,2900,19360,59970,99390,162230,218190,247435,262365,276518,292303,561707,2529677
9/22/2000,2670,18250,57100,100280,157710,216730,249085,264205,277488,293703,558797,2477277
9/23/2000,2860,17640,53780,101080,152420,214690,250585,265695,278198,294603,555667,2425947
9/24/2000,4090,17980,50480,102240,146950,212520,252450,267215,279338,295403,552677,2376607
9/25/2000,4740,20090,48420,104660,142590,211450,254710,269655,281948,297343,550857,2331797
9/26/2000,5370,22930,47130,107930,139360,210710,256520,272845,285368,300213,549697,2290437
9/27/2000,5990,25560,46880,111980,138020,210280,258080,276785,289498,304193,549067,2252807
9/28/2000,6400,28620,47980,116720,138290,210140,259750,280955,294238,309033,549077,2218097
9/29/2000,6340,32120,50370,121850,140210,210170,261710,285525,299418,314438,549517,2185597
9/30/2000,6480,35790,53430,126960,143250,210050,263750,290235,304678,319488,549887,2152637
10/1/2000,7340,39410,57390,131300,147230,210070,266030,295275,310205,324358,550447,2118817
10/2/2000,7760,42660,62750,135550,152560,209990,269010,301365,316485,329768,552077,2086357
10/3/2000,8360,45680,68610,139880,158450,209790,272060,307955,323065,335568,554667,2056117
10/4/2000,8550,48670,74230,144830,165110,209820,275390,315320,330085,342208,558847,2029177
